sp,dbh,rootbiomass,logdbh,logrootbiomass
Castanopsis eyrei,1.08,0.16,0.0769610411361284,-1.8325814637483102
Castanopsis eyrei,1.85,0.15,0.6151856390902335,-1.8971199848858813
Castanopsis eyrei,2.46,0.46,0.9001613499442714,-0.7765287894989963
Castanopsis eyrei,2.6,1.08,0.9555114450274363,0.0769610411361284
Castanopsis eyrei,4.46,1.34,1.4951487660319727,0.29266961396282004
Castanopsis eyrei,5.56,1.22,1.715598108262491,0.19885085874516517
Castanopsis eyrei,5.68,1.31,1.7369512327330598,0.2700271372130602
Castanopsis eyrei,5.7,3.37,1.7404661748405046,1.2149127443642704
Castanopsis eyrei,8.8,5.48,2.174751721484161,1.7011051009599243
Castanopsis eyrei,9.3,5.5,2.2300144001592104,1.7047480922384253
Castanopsis eyrei,9.48,10.62,2.2491843162669305,2.362739015813793
Castanopsis eyrei,9.7,5.83,2.272125885509337,1.763017000362401
Castanopsis eyrei,10.28,6.4,2.330200260027019,1.8562979903656263
Castanopsis eyrei,11.04,6.87,2.401525040848949,1.927164106234258
Castanopsis eyrei,15,26.15,2.70805020110221,3.263849190510932
Castanopsis eyrei,16.55,31.22,2.806386101823072,3.441058915087286
Castanopsis eyrei,18.1,39.29,2.89591193827178,3.6709700335703683
Castanopsis eyrei,20.09,41.12,3.000222178826843,3.7164946211469094
Castanopsis eyrei,22.57,86.48,3.1166215908294443,4.4599131733309525
Castanopsis eyrei,23.25,63.26,3.1463051320333655,4.147253217877503
Castanopsis eyrei,23.94,63.47,3.1755507001298273,4.150567353318379
Castanopsis eyrei,24.41,54.78,3.1949928844048685,4.0033251638349325
Castanopsis eyrei,25.1,62.66,3.2228678461377385,4.137723285524046
Castanopsis eyrei,25.3,70.86,3.2308043957334744,4.260706099437326
Castanopsis eyrei,25.8,81.94,3.250374491927572,4.405987272118725
Castanopsis eyrei,26.4,86.45,3.2733640101522705,4.4595662121293
Castanopsis eyrei,26.55,69.86,3.279029747687948,4.246493239378686
Castanopsis eyrei,27.08,107.25,3.298795448044074,4.675162557808126
Castanopsis eyrei,27.35,89.81,3.3087165288679903,4.497696327682858
Castanopsis eyrei,27.65,91.51,3.3196257279683437,4.516448255927287
Castanopsis eyrei,28.3,90.45,3.342861804649192,4.504797211841304
Castanopsis eyrei,28.38,91.44,3.3456846717318967,4.515683019486556
Castanopsis eyrei,28.5,80.89,3.349904087274605,4.393090207029862
Castanopsis eyrei,28.8,70.48,3.3603753871419,4.255328981627924
Castanopsis eyrei,30.72,103.65,3.4249139082794713,4.641019838881789
Castanopsis eyrei,30.94,78.85,3.43204984514492,4.367547313409047
Castanopsis eyrei,30.95,100.15,3.432372999130605,4.606669062111827
Castanopsis eyrei,32.2,161.34,3.4719664525503626,5.083513939508828
Castanopsis eyrei,37.94,169.18,3.636005964506868,5.130963236875869
Castanopsis eyrei,40.28,175.96,3.6958550678503617,5.170256696480519
Castanopsis eyrei,47,149.85,3.8501476017100584,5.009634793762673
Pinus massoniana,1.26,0.02,0.23111172096338664,-3.912023005428146
Pinus massoniana,1.81,0.04,0.5933268452777344,-3.2188758248682006
Pinus massoniana,2.28,0.13,0.8241754429663494,-2.0402208285265546
Pinus massoniana,2.9,0.1,1.0647107369924282,-2.3025850929940455
Pinus massoniana,3.4,0.16,1.2237754316221157,-1.8325814637483102
Pinus massoniana,3.75,0.32,1.3217558399823195,-1.1394342831883648
Pinus massoniana,4.4,0.51,1.4816045409242156,-0.6733445532637656
Pinus massoniana,5,0.62,1.6094379124341003,-0.4780358009429998
Pinus massoniana,5.7,1.44,1.7404661748405046,0.36464311358790924
Pinus massoniana,5.7,0.91,1.7404661748405046,-0.09431067947124129
Pinus massoniana,6.3,1.28,1.840549633397487,0.2468600779315258
Pinus massoniana,6.56,0.87,1.8809906029559975,-0.13926206733350766
Pinus massoniana,8.54,3.9,2.1447610078004784,1.3609765531356006
Pinus massoniana,8.8,3.43,2.174751721484161,1.2325602611778486
Pinus massoniana,9.3,3.85,2.2300144001592104,1.3480731482996928
Pinus massoniana,9.9,4.22,2.2925347571405443,1.4398351280479205
Pinus massoniana,10.1,5.7,2.3125354238472138,1.7404661748405046
Pinus massoniana,10.95,5.34,2.3933394562625097,1.6752256529721035
Pinus massoniana,11.11,5.17,2.4078456036515385,1.6428726885203377
Pinus massoniana,11.3,6.77,2.424802725718295,1.9125010869241836
Pinus massoniana,11.74,5.39,2.4630018143999504,1.6845453849209058
Pinus massoniana,11.83,5.75,2.4706386779902956,1.749199854809259
Pinus massoniana,12.1,8.47,2.4932054526026954,2.136530508663963
Pinus massoniana,12.58,12.11,2.5321082512722946,2.494031557565001
Pinus massoniana,14,12,2.6390573296152584,2.4849066497880004
Pinus massoniana,14.1,13.74,2.6461747973841225,2.620311286794203
Pinus massoniana,15.2,11.88,2.7212954278522306,2.474856313934499
Pinus massoniana,17.4,17.52,2.856470206220483,2.8633430855082453
Pinus massoniana,18.45,14.44,2.915064370486536,2.67000213346468
Pinus massoniana,18.6,17.33,2.9231615807191558,2.8524391037275145
Pinus massoniana,18.8,14.08,2.9338568698359038,2.644755350729896
Pinus massoniana,21.65,23.52,3.075005454448499,3.1578511230304263
Pinus massoniana,22.45,42.31,3.1112906141882632,3.7450234647319762
Pinus massoniana,22.45,34.4,3.1112906141882632,3.5380565643793527
Pinus massoniana,22.87,63.33,3.12982600803469,4.148359150528339
Pinus massoniana,23.2,26.38,3.1441522786722644,3.2726061472891685
Pinus massoniana,23.9,80.83,3.173878458937465,4.392348183745753
Pinus massoniana,24.06,60.13,3.180550710546533,4.0965088850514775
Pinus massoniana,24.53,52.87,3.199896858270398,3.9678360702473587
Pinus massoniana,24.9,105.81,3.214867803470662,4.66164503291607
Pinus massoniana,26.86,56.07,3.2906381910950917,4.026600910135581
Pinus massoniana,28.5,114.87,3.349904087274605,4.743801054157313
Pinus massoniana,30.1,147.32,3.40452517175483,4.992607091576865
Pinus massoniana,31.7,84.48,3.456316680883235,4.436514819957951
Pinus massoniana,31.9,134.43,3.462606009790799,4.901043617466161
Pinus massoniana,32.15,126.1,3.4704124506836282,4.837075242970874
Pinus massoniana,33,173.08,3.4965075614664802,5.153753915356684
Pinus massoniana,34.24,158.52,3.5333945512735414,5.065880768322234
Pinus massoniana,35.13,194.66,3.559055466277736,5.2712544469983476
Pinus massoniana,35.66,219.79,3.574029612434994,5.392672545029182
Pinus massoniana,35.72,110.56,3.575710756008298,4.70555836001936
Pinus massoniana,37.2,179.92,3.616308761279101,5.19251230765106
Pinus massoniana,38.23,143.96,3.6436205477083212,4.96953548321083
Pinus massoniana,38.4,140.8,3.648057459593681,4.9473404437239425
Pinus massoniana,41.5,186.31,3.7256934272366524,5.227411953032262
Pinus massoniana,49.25,174.83,3.8969093676180977,5.163814073209558
Pinus massoniana,56.2,251.64,4.028916756899646,5.527999494701829
Pinus massoniana,56.5,295.5,4.034240638152395,5.688668836846153
Schima superba,1.2,0.07,0.1823215567939546,-2.659260036932778
Schima superba,1.31,0.37,0.2700271372130602,-0.9942522733438669
Schima superba,2.09,0.21,0.7371640659767196,-1.5606477482646683
Schima superba,2.32,0.5,0.8415671856782185,-0.6931471805599453
Schima superba,2.4,0.26,0.8754687373538999,-1.3470736479666092
Schima superba,2.7,0.52,0.9932517730102834,-0.6539264674066639
Schima superba,4,2.29,1.3862943611198906,0.8285518175661483
Schima superba,4.19,1.17,1.4327007339340465,0.1570037488096647
Schima superba,4.7,1.37,1.547562508716013,0.3148107398400336
Schima superba,4.86,1.85,1.5810384379124025,0.6151856390902335
Schima superba,5.4,2.36,1.6863989535702288,0.8586616190375187
Schima superba,5.8,2.39,1.7578579175523736,0.8712933659434193
Schima superba,6.04,1.97,1.7984040119467235,0.6780335427498971
Schima superba,6.88,4.11,1.9286186519452522,1.4134230285081433
Schima superba,6.9,3.89,1.9315214116032138,1.358409157630355
Schima superba,7.45,4.17,2.0082140323914683,1.4279160358107101
Schima superba,7.5,3.18,2.0149030205422647,1.1568811967920856
Schima superba,8.48,5.57,2.1377104498038118,1.7173950539391927
Schima superba,9.2,10,2.2192034840549946,2.302585092994046
Schima superba,9.4,18.95,2.2407096892759584,2.9418039315284354
Schima superba,9.46,9.81,2.247072383063787,2.2834022735772717
Schima superba,9.9,7.21,2.2925347571405443,1.9754689512968577
Schima superba,10.1,6.86,2.3125354238472138,1.925707441737794
Schima superba,10.6,8.56,2.3608540011180215,2.1471001901536506
Schima superba,13.5,14.78,2.6026896854443837,2.6932749155200555
Schima superba,13.8,5.07,2.624668592163159,1.623340817603092
Schima superba,14,36.18,2.6390573296152584,3.588506479967149
Schima superba,16,34.85,2.772588722239781,3.551053137206533
Schima superba,17.3,31.29,2.8507065015037334,3.443298557680791
Schima superba,17.9,30.22,2.884800712846709,3.4085039568445934
Schima superba,19,48.57,2.9444389791664403,3.8830060563576536
Schima superba,19.02,45.14,2.9454910571172443,3.8097687713893897
Schima superba,19.6,37.45,2.975529566236472,3.6230067099632284
Schima superba,19.8,49.72,2.9856819377004897,3.9064072666425105
Schima superba,20.5,65.24,3.0204248861443626,4.178072777752813
Schima superba,21.05,74.16,3.0469005601283903,4.306224921257599
Schima superba,21.18,76.1,3.0530573401732606,4.33204826486764
Schima superba,21.4,50.72,3.0633909220278057,3.9263203101289705
Schima superba,21.45,82.23,3.065724645374026,4.409520198982804
Schima superba,22,170.57,3.091042453358316,5.139145769652782
Schima superba,23,148.7,3.1354942159291497,5.001930853466109
Schima superba,23.1,74.11,3.139832617527748,4.305550475963267
Schima superba,23.19,106.96,3.1437211512674406,4.672454932793688
Schima superba,23.38,124.77,3.1518809560439225,4.82647204242293
Schima superba,24.62,78.52,3.2035591207563074,4.3633533694082605
Schima superba,25.54,97.96,3.2402458506043934,4.584559232083967
Schima superba,25.76,117.95,3.248822901236153,4.770260805853684
Schima superba,26.39,105.15,3.2729851505152325,4.655387902148709
Schima superba,26.4,92.85,3.2733640101522705,4.530985287798715
Schima superba,26.5,113.5,3.2771447329921766,4.7318028369214575
Schima superba,27.86,83.59,3.3271919683516598,4.4259238957110645
Schima superba,29.35,130.03,3.3792925462741055,4.867765193063229
Schima superba,30.62,97.85,3.4216533902295376,4.583435693842085
Schima superba,32,265.5,3.4657359027997265,5.581614840681993
Schima superba,32.12,173.2,3.469478889078561,5.154446996128335
Schima superba,32.92,253.57,3.494080375808869,5.535639919035516
Schima superba,34,122.55,3.5263605246161616,4.808519109974122
Schima superba,37.2,136.3,3.616308761279101,4.914858338702487
Schima superba,38,181.13,3.6375861597263857,5.199215005504826
Schima superba,38.32,273.6,3.6459719531026598,5.611667185748395
